index,Įstaigos_pavadinimas,Medikų_kiekis__VISO,Karantinuota__VISO,Medikų_kiekis_30___50_m_,Karantinuota_viso_30___50_m_,Medikų_kiekis_50__,Karantinuota_viso_50__,Medikai_reanimatologai__VISO,Karantinuota_reanimatologai__VISO,Atsarga,Apmokyti_medikai,FID,insert_timestamp
0,VšĮ Vilkpėdės ligoninė,167,4,27,0,140,4,0,0,0,0,1,2020-03-21 21:22:42.991238
1,VšĮ Mykolo Marcinkevičiaus ligoninė,0,0,0,0,0,0,0,0,0,0,2,2020-03-21 21:22:42.991238
2,VšĮ Vilniaus miesto klinikinė ligoninė,0,0,0,0,0,0,0,0,0,0,3,2020-03-21 21:22:42.991238
3,VšĮ Šv. Roko ligoninė,169,7,42,1,109,6,0,0,0,0,4,2020-03-21 21:22:42.991238
4,VšĮ Antakalnio poliklinika,0,0,0,0,0,0,0,0,0,0,5,2020-03-21 21:22:42.991238
5,VšĮ Karoliniškių poliklinika,166,7,84,7,72,0,3,0,0,0,6,2020-03-21 21:22:42.991238
6,VšĮ Lazdynų poliklinika,56,2,28,1,28,1,0,0,0,0,7,2020-03-21 21:22:42.991238
7,"VšĮ Centro poliklinika, Dienos stacionaras",862,16,0,0,0,0,0,0,0,0,8,2020-03-21 21:22:42.991238
8,VšĮ Naujininkų poliklinika,124,1,26,0,98,1,0,0,0,0,9,2020-03-21 21:22:42.991238
9,VšĮ Naujosios Vilnios poliklinika,132,5,43,4,72,1,0,0,0,0,10,2020-03-21 21:22:42.991238
10,VšĮ Šeškinės poliklinika,448,25,151,11,257,14,0,0,0,0,11,2020-03-21 21:22:42.991238
11,VšĮ Greitosios medicinos pagalbos stotis,380,10,6,10,4,4,0,0,0,0,12,2020-03-21 21:22:42.991238
12,VšĮ Vilniaus miesto psichikos sveikatos centras,196,5,88,4,108,1,0,0,0,0,13,2020-03-21 21:22:42.991238
13,VšĮ Grigiškių sveikatos priežiūros centras palaikomojo gydymo ir slaugos ligoninė,43,0,14,0,27,0,0,0,0,0,14,2020-03-21 21:22:42.991238
14,BĮ Vilniaus visuomenės sveikatos biuras,0,0,0,0,0,0,0,0,0,0,15,2020-03-21 21:22:42.991238
15,BĮ Vilniaus sutrikusio vystymosi kūdikių namai-pagalbos centras „Šeimos slėnis“,0,0,0,0,0,0,0,0,0,0,16,2020-03-21 21:22:42.991238
16,VšĮ Vilniaus universiteto ligoninė Santaros klinikos,0,0,0,0,0,0,0,0,0,0,17,2020-03-21 21:22:42.991238
17,VšĮ Respublikinė Vilniaus universitetinė ligoninė,0,0,0,0,0,0,0,0,0,0,18,2020-03-21 21:22:42.991238
0,VšĮ Vilkpėdės ligoninė,167,4,27,0,140,4,0,0,0,0,1,2020-03-22 09:58:59.077560
1,VšĮ Mykolo Marcinkevičiaus ligoninė,0,0,0,0,0,0,0,0,0,0,2,2020-03-22 09:58:59.077560
2,VšĮ Vilniaus miesto klinikinė ligoninė,0,0,0,0,0,0,0,0,0,0,3,2020-03-22 09:58:59.077560
3,VšĮ Šv. Roko ligoninė,169,7,42,1,109,6,0,0,0,0,4,2020-03-22 09:58:59.077560
4,VšĮ Antakalnio poliklinika,0,0,0,0,0,0,0,0,0,0,5,2020-03-22 09:58:59.077560
5,VšĮ Karoliniškių poliklinika,166,7,84,7,72,0,3,0,0,0,6,2020-03-22 09:58:59.077560
6,VšĮ Lazdynų poliklinika,56,2,28,1,28,1,0,0,0,0,7,2020-03-22 09:58:59.077560
7,"VšĮ Centro poliklinika, Dienos stacionaras",862,16,0,0,0,0,0,0,0,0,8,2020-03-22 09:58:59.077560
8,VšĮ Naujininkų poliklinika,124,1,26,0,98,1,0,0,0,0,9,2020-03-22 09:58:59.077560
9,VšĮ Naujosios Vilnios poliklinika,132,5,43,4,72,1,0,0,0,0,10,2020-03-22 09:58:59.077560
10,VšĮ Šeškinės poliklinika,448,25,151,11,257,14,0,0,0,0,11,2020-03-22 09:58:59.077560
11,VšĮ Greitosios medicinos pagalbos stotis,380,10,6,10,4,4,0,0,0,0,12,2020-03-22 09:58:59.077560
12,VšĮ Vilniaus miesto psichikos sveikatos centras,196,5,88,4,108,1,0,0,0,0,13,2020-03-22 09:58:59.077560
13,VšĮ Grigiškių sveikatos priežiūros centras palaikomojo gydymo ir slaugos ligoninė,43,0,14,0,27,0,0,0,0,0,14,2020-03-22 09:58:59.077560
14,BĮ Vilniaus visuomenės sveikatos biuras,0,0,0,0,0,0,0,0,0,0,15,2020-03-22 09:58:59.077560
15,BĮ Vilniaus sutrikusio vystymosi kūdikių namai-pagalbos centras „Šeimos slėnis“,0,0,0,0,0,0,0,0,0,0,16,2020-03-22 09:58:59.077560
16,VšĮ Vilniaus universiteto ligoninė Santaros klinikos,0,0,0,0,0,0,0,0,0,0,17,2020-03-22 09:58:59.077560
17,VšĮ Respublikinė Vilniaus universitetinė ligoninė,0,0,0,0,0,0,0,0,0,0,18,2020-03-22 09:58:59.077560
0,VšĮ Vilkpėdės ligoninė,167,4,27,0,140,4,0,0,0,0,1,2020-03-22 08:00:16.645805
1,VšĮ Mykolo Marcinkevičiaus ligoninė,0,0,0,0,0,0,0,0,0,0,2,2020-03-22 08:00:16.645805
2,VšĮ Vilniaus miesto klinikinė ligoninė,0,0,0,0,0,0,0,0,0,0,3,2020-03-22 08:00:16.645805
3,VšĮ Šv. Roko ligoninė,169,7,42,1,109,6,0,0,0,0,4,2020-03-22 08:00:16.645805
4,VšĮ Antakalnio poliklinika,0,0,0,0,0,0,0,0,0,0,5,2020-03-22 08:00:16.645805
5,VšĮ Karoliniškių poliklinika,166,7,84,7,72,0,3,0,0,0,6,2020-03-22 08:00:16.645805
6,VšĮ Lazdynų poliklinika,56,2,28,1,28,1,0,0,0,0,7,2020-03-22 08:00:16.645805
7,"VšĮ Centro poliklinika, Dienos stacionaras",862,16,0,0,0,0,0,0,0,0,8,2020-03-22 08:00:16.645805
8,VšĮ Naujininkų poliklinika,124,1,26,0,98,1,0,0,0,0,9,2020-03-22 08:00:16.645805
9,VšĮ Naujosios Vilnios poliklinika,132,5,43,4,72,1,0,0,0,0,10,2020-03-22 08:00:16.645805
10,VšĮ Šeškinės poliklinika,448,25,151,11,257,14,0,0,0,0,11,2020-03-22 08:00:16.645805
11,VšĮ Greitosios medicinos pagalbos stotis,380,10,6,10,4,4,0,0,0,0,12,2020-03-22 08:00:16.645805
12,VšĮ Vilniaus miesto psichikos sveikatos centras,196,5,88,4,108,1,0,0,0,0,13,2020-03-22 08:00:16.645805
13,VšĮ Grigiškių sveikatos priežiūros centras palaikomojo gydymo ir slaugos ligoninė,43,0,14,0,27,0,0,0,0,0,14,2020-03-22 08:00:16.645805
14,BĮ Vilniaus visuomenės sveikatos biuras,0,0,0,0,0,0,0,0,0,0,15,2020-03-22 08:00:16.645805
15,BĮ Vilniaus sutrikusio vystymosi kūdikių namai-pagalbos centras „Šeimos slėnis“,0,0,0,0,0,0,0,0,0,0,16,2020-03-22 08:00:16.645805
16,VšĮ Vilniaus universiteto ligoninė Santaros klinikos,0,0,0,0,0,0,0,0,0,0,17,2020-03-22 08:00:16.645805
17,VšĮ Respublikinė Vilniaus universitetinė ligoninė,0,0,0,0,0,0,0,0,0,0,18,2020-03-22 08:00:16.645805
0,VšĮ Vilkpėdės ligoninė,167,4,27,0,140,4,0,0,0,0,1,2020-03-22 08:04:02.525232
1,VšĮ Mykolo Marcinkevičiaus ligoninė,0,0,0,0,0,0,0,0,0,0,2,2020-03-22 08:04:02.525232
2,VšĮ Vilniaus miesto klinikinė ligoninė,0,0,0,0,0,0,0,0,0,0,3,2020-03-22 08:04:02.525232
3,VšĮ Šv. Roko ligoninė,169,7,42,1,109,6,0,0,0,0,4,2020-03-22 08:04:02.525232
4,VšĮ Antakalnio poliklinika,0,0,0,0,0,0,0,0,0,0,5,2020-03-22 08:04:02.525232
5,VšĮ Karoliniškių poliklinika,166,7,84,7,72,0,3,0,0,0,6,2020-03-22 08:04:02.525232
6,VšĮ Lazdynų poliklinika,56,2,28,1,28,1,0,0,0,0,7,2020-03-22 08:04:02.525232
7,"VšĮ Centro poliklinika, Dienos stacionaras",862,16,0,0,0,0,0,0,0,0,8,2020-03-22 08:04:02.525232
8,VšĮ Naujininkų poliklinika,124,1,26,0,98,1,0,0,0,0,9,2020-03-22 08:04:02.525232
9,VšĮ Naujosios Vilnios poliklinika,132,5,43,4,72,1,0,0,0,0,10,2020-03-22 08:04:02.525232
10,VšĮ Šeškinės poliklinika,448,25,151,11,257,14,0,0,0,0,11,2020-03-22 08:04:02.525232
11,VšĮ Greitosios medicinos pagalbos stotis,380,10,6,10,4,4,0,0,0,0,12,2020-03-22 08:04:02.525232
